TABLE_SCHEMA|TABLE_NAME|COLUMN_NAME|ORDINAL_POSITION|CONSTRAINT_NAME
dbo|t41806_import_origen_destino|f41806_rowid|1|PK_t41806
dbo|t41807_import_vias|f41807_rowid|1|PK_t41807
dbo|t41850_import_docto|f41850_rowid|1|PK_t41850
dbo|t41851_import_movto|f41851_rowid|1|PK_t41851
dbo|t41852_import_movto_seriales|f41852_rowid_movto_import|1|PK_t41852
dbo|t41852_import_movto_seriales|f41852_rowid_serial|2|PK_t41852
dbo|t41853_import_mov_costo_acum|f41853_rowid|1|PK_t41853
dbo|t41854_import_docto_cptos_exc|f41854_rowid|1|PK_t41854
dbo|t419_mc_contactos_docto|f419_rowid|1|PK_t419
dbo|t420_cm_oc_docto|f420_rowid|1|PK_t420
dbo|t4201_cm_contrato|f4201_rowid_oc_docto|1|PK_t4201
dbo|t4202_cm_contrato_aiu|f4202_rowid_oc_docto|1|PK_t4202
dbo|t4202_cm_contrato_aiu|f4202_orden|2|PK_t4202
dbo|t4203_cm_contrato_polizas|f4203_rowid|1|PK_t4203
dbo|t4204_cm_contrato_gar_movto|f4204_rowid_docto_contrato|1|PK_t4204_cm_contrato_gar_movto
dbo|t4204_cm_contrato_gar_movto|f4204_rowid_movto_inv|2|PK_t4204_cm_contrato_gar_movto
dbo|t4205_cm_contrato_clases_pol|f4205_rowid|1|PK_t4205
dbo|t4206_cm_clases_solicitud|f4206_rowid|1|PK_t4206
dbo|t421_cm_oc_movto|f421_rowid|1|PK_t421
dbo|t4211_cm_oc_movto_aprobado|f4211_rowid|1|PK_t4211
dbo|t4212_cm_oc_docto_dist|f4212_rowid|1|PK_t4212
dbo|t4213_cm_automatizacion_ant|f4213_rowid_tercero_prov|1|PK_t4213
dbo|t4213_cm_automatizacion_ant|f4213_id_sucursal_prov|2|PK_t4213
dbo|t4214_cm_clases_contratos|f4214_rowid|1|PK_t4214
dbo|t4215_cm_clases_contrato_aiu|f4215_rowid_clase_contrato|1|PK_t4215
dbo|t4215_cm_clases_contrato_aiu|f4215_orden|2|PK_t4215
dbo|t4216_cm_clases_polizas|f4216_rowid|1|PK_t4216
dbo|t422_cm_oc_movto_dscto|f422_rowid_oc_movto|1|PK_t422
dbo|t422_cm_oc_movto_dscto|f422_orden|2|PK_t422
dbo|t422_cm_oc_movto_dscto|f422_ind_tipo_dscto|3|PK_t422
dbo|t423_cm_oc_movto_imp|f423_rowid_oc_movto|1|PK_t423
dbo|t423_cm_oc_movto_imp|f423_id_llave_imp|2|PK_t423
dbo|t424_cm_docto_sobrecosto|f424_rowid|1|PK_t424
dbo|t425_cm_docto_sobrecosto_imp|f425_rowid_docto_sobrecosto|1|PK_t425
dbo|t425_cm_docto_sobrecosto_imp|f425_id_llave|2|PK_t425
dbo|t426_cm_docto_log|f426_rowid|1|PK_t426
dbo|t427_cm_kanban|f427_rowid|1|PK_t427
dbo|t428_cm_kanban_movto|f428_rowid|1|PK_t428
dbo|t4291_of_docto|f4291_rowid|1|PK_t4291
dbo|t4292_of_movto|f4292_rowid|1|PK_t4292
dbo|t4293_of_movto_item|f4293_rowid|1|PK_t4293
dbo|t4294_of_docto_prov|f4294_rowid|1|PK_t4294
dbo|t4295_of_docto_prov_item|f4295_rowid|1|PK_t4295
dbo|t4296_of_docto_prov_item_dscto|f4296_rowid_of_docto_prov_item|1|PK_t4296
dbo|t4296_of_docto_prov_item_dscto|f4296_orden|2|PK_t4296
dbo|t4296_of_docto_prov_item_dscto|f4296_ind_tipo_dscto|3|PK_t4296
dbo|t4297_of_docto_prov_item_imp|f4297_rowid_of_docto_prov_item|1|PK_t4297
dbo|t4297_of_docto_prov_item_imp|f4297_id_cia|2|PK_t4297
dbo|t4297_of_docto_prov_item_imp|f4297_id_llave_imp|3|PK_t4297
dbo|t4298_of_movto_prov_selec|f4298_rowid|1|PK_t4298
dbo|t430_cm_pv_docto|f430_rowid|1|PK_t430
dbo|t431_cm_pv_movto|f431_rowid|1|PK_t431
dbo|t4311_cm_pv_movto_rel|f4311_rowid|1|PK_t4311
dbo|t4312_cm_pv_movto_reg_cambios|f4312_rowid|1|PK_t4312
dbo|t432_cm_pv_movto_dscto|f432_rowid_pv_movto|1|PK_t432
dbo|t432_cm_pv_movto_dscto|f432_orden|2|PK_t432
dbo|t432_cm_pv_movto_dscto|f432_ind_tipo_dscto|3|PK_t432
dbo|t433_cm_pv_movto_imp|f433_rowid_pv_movto|1|PK_t433
dbo|t433_cm_pv_movto_imp|f433_id_llave_imp|2|PK_t433
dbo|t434_cm_pv_movto_rel|f434_rowid|1|PK_t434
dbo|t435_cm_pv_movto_paquete|f435_rowid_pv_movto|1|PK_t435
dbo|t436_cm_pv_estado_retenido|f436_rowid_pv_docto|1|PK_t436
dbo|t436_cm_pv_estado_retenido|f436_ind_retenido_otros|2|PK_t436
dbo|t437_pv_docto_ant|f437_id_cia|1|PK_t437
dbo|t437_pv_docto_ant|f437_rowid_pv_docto|2|PK_t437
dbo|t437_pv_docto_ant|f437_rowid_sa|3|PK_t437
dbo|t438_cm_movto_edi|f438_rowid|1|PK_t438_cm_movto_edi
dbo|t4381_pv_docto_edi_consec|f4381_id_cia|1|PK_t4381
dbo|t4381_pv_docto_edi_consec|f4381_id_co|2|PK_t4381
dbo|t4381_pv_docto_edi_consec|f4381_id_tipo_docto|3|PK_t4381
dbo|t4381_pv_docto_edi_consec|f4381_consecutivo|4|PK_t4381
dbo|t439_cm_venta_perdida|f439_rowid|1|PK_t439
dbo|t440_docto_req_int|f440_rowid|1|PK_t440
dbo|t441_movto_req_int|f441_rowid|1|PK_t441
dbo|t443_cm_picking_docto|f443_rowid|1|PK_t443
dbo|t444_cm_picking_movto|f444_rowid|1|PK_t444
dbo|t4441_cm_picking_mov_seriales|f4441_rowid_picking_movto|1|PK_t4441
